	B1L	B5L	LL	B1S	B5S	LS	B1LB1S	B1LB5S	B1LLS	B5LB1S	B5LB5S	B1LLS	LLB1S	LLB5S	LLLS
Me_nBu	1.7	2.23	2.95	1.73	4.62	6.58	2.94	7.85	11.19	3.86	10.30	11.19	5.10	13.63	19.41
CH2tBu_nBu	1.71	4.65	5.04	1.73	4.62	6.58	2.96	7.90	11.25	8.04	21.48	11.25	8.72	23.28	33.16
iPr_nBu	2.06	3.34	4.25	1.73	4.62	6.58	3.56	9.52	13.55	5.78	15.43	13.55	7.35	19.64	27.97
3pentyl_nBu	2.13	4.77	4.34	1.73	4.62	6.58	3.68	9.84	14.02	8.25	22.04	14.02	7.51	20.05	28.56
tBu_nBu	3.02	3.52	4.35	1.73	4.62	6.58	5.22	13.95	19.87	6.09	16.26	19.87	7.53	20.10	28.62
1Ad_nBu	3.41	3.83	6.53	1.73	4.62	6.58	5.90	15.75	22.44	6.63	17.69	22.44	11.30	30.17	42.97
Me_Cy	1.7	2.23	2.95	2.13	3.65	6.47	3.62	6.21	11.00	4.75	8.14	11.00	6.28	10.77	19.09
CH2tBu_Cy	1.71	4.65	5.04	2.13	3.65	6.47	3.64	6.24	11.06	9.90	16.97	11.06	10.74	18.40	32.61
iPr_Cy	2.06	3.34	4.25	2.13	3.65	6.47	4.39	7.52	13.33	7.11	12.19	13.33	9.05	15.51	27.50
3pentyl_Cy	2.13	4.77	4.34	2.13	3.65	6.47	4.54	7.77	13.78	10.16	17.41	13.78	9.24	15.84	28.08
tBu_Cy	3.02	3.52	4.35	2.13	3.65	6.47	6.43	11.02	19.54	7.50	12.85	19.54	9.27	15.88	28.14
1Ad_Cy	3.41	3.83	6.53	2.13	3.65	6.47	7.26	12.45	22.06	8.16	13.98	22.06	13.91	23.83	42.25
Me_CH2tBu	1.7	2.23	2.95	1.75	4.55	5.54	2.98	7.74	9.42	3.90	10.15	9.42	5.16	13.42	16.34
CH2tBu_CH2tBu	1.71	4.65	5.04	1.75	4.55	5.54	2.99	7.78	9.47	8.14	21.16	9.47	8.82	22.93	27.92
iPr_CH2tBu	2.06	3.34	4.25	1.75	4.55	5.54	3.61	9.37	11.41	5.85	15.20	11.41	7.44	19.34	23.55
3pentyl_CH2tBu	2.13	4.77	4.34	1.75	4.55	5.54	3.73	9.69	11.80	8.35	21.70	11.80	7.60	19.75	24.04
tBu_CH2tBu	3.02	3.52	4.35	1.75	4.55	5.54	5.29	13.74	16.73	6.16	16.02	16.73	7.61	19.79	24.10
1Ad_CH2tBu	3.41	3.83	6.53	1.75	4.55	5.54	5.97	15.52	18.89	6.70	17.43	18.89	11.43	29.71	36.18
Me_iPr	1.7	2.23	2.95	2.1	3.36	4.39	3.57	5.71	7.46	4.68	7.49	7.46	6.20	9.91	12.95
CH2tBu_iPr	1.71	4.65	5.04	2.1	3.36	4.39	3.59	5.75	7.51	9.77	15.62	7.51	10.58	16.93	22.13
iPr_iPr	2.06	3.34	4.25	2.1	3.36	4.39	4.33	6.92	9.04	7.01	11.22	9.04	8.93	14.28	18.66
3pentyl_iPr	2.13	4.77	4.34	2.1	3.36	4.39	4.47	7.16	9.35	10.02	16.03	9.35	9.11	14.58	19.05
tBu_iPr	3.02	3.52	4.35	2.1	3.36	4.39	6.34	10.15	13.26	7.39	11.83	13.26	9.14	14.62	19.10
1Ad_iPr	3.41	3.83	6.53	2.1	3.36	4.39	7.16	11.46	14.97	8.04	12.87	14.97	13.71	21.94	28.67
Me_tBu	1.7	2.23	2.95	2.95	3.37	4.34	5.02	5.73	7.38	6.58	7.52	7.38	8.70	9.94	12.80
CH2tBu_tBu	1.71	4.65	5.04	2.95	3.37	4.34	5.04	5.76	7.42	13.72	15.67	7.42	14.87	16.98	21.87
iPr_tBu	2.06	3.34	4.25	2.95	3.37	4.34	6.08	6.94	8.94	9.85	11.26	8.94	12.54	14.32	18.45
3Pentyl_tBu	2.13	4.77	4.34	2.95	3.37	4.34	6.28	7.18	9.24	14.07	16.07	9.24	12.80	14.63	18.84
tBu_tBu	3.02	3.52	4.35	2.95	3.37	4.34	8.91	10.18	13.11	10.38	11.86	13.11	12.83	14.66	18.88
1Ad_tBu	3.41	3.83	6.53	2.95	3.37	4.34	10.06	11.49	14.80	11.30	12.91	14.80	19.26	22.01	28.34
